"Group","Text","From","FirstSeenFile","Voice","RawFile","FilteredFile"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_58c9b11716eb7a38.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_58c9b11716eb7a38.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_5203c469399736a3.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_5203c469399736a3.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_1ae943cbe3320e06.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_1ae943cbe3320e06.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_8582cbbca1d1c4ab.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_8582cbbca1d1c4ab.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_ad327438858d6890.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_ad327438858d6890.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_61470767792f1e56.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_61470767792f1e56.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_80451411c2acdde9.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_80451411c2acdde9.wav"
"Traffic","My ship is almost done for. Help!","$npc_name_decorate:#name=MrMittens;","Journal.2026-07-16T172408.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_155417363dc77259.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_155417363dc77259.wav"
"Traffic","This is your captain. Due to some unforeseen delays, we will be arriving at our next destination later than scheduled.","$ShipName_PassengerLiner_Cruise;","Journal.2026-07-12T175351.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_4e1b9a6fc6dc3101.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_4e1b9a6fc6dc3101.wav"
"Traffic","This is your captain. Due to some unforeseen delays, we will be arriving at our next destination later than scheduled.","$ShipName_PassengerLiner_Cruise;","Journal.2026-07-12T175351.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_875632a3a3a24c69.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_875632a3a3a24c69.wav"
